"activity_period","operating_airline","published_airline","geo_region","activity_type_code","price_category_code","terminal","boarding_area","adjusted_activity_type_code","year","month","geo_summary"
"Periode 200507","ATA Airlines","ATA Airlines","US","Deplaned","Low Fare","Terminal 1","B","Deplaned","Tahun 2005","July","Domestic"
"Periode 200507","ATA Airlines","ATA Airlines","US","Enplaned","Low Fare","Terminal 1","B","Enplaned","Tahun 2005","July","Domestic"
"Periode 200507","ATA Airlines","ATA Airlines","US","Thru / Transit","Low Fare","Terminal 1","B","Thru / Transit * 2","Tahun 2005","July","Domestic"
"Periode 200507","Air Canada","Air Canada","Canada","Deplaned","Other","Terminal 1","B","Deplaned","Tahun 2005","July","International"
"Periode 200507","Air Canada","Air Canada","Canada","Enplaned","Other","Terminal 1","B","Enplaned","Tahun 2005","July","International"
"Periode 200507","Air China","Air China","Asia","Deplaned","Other","International","G","Deplaned","Tahun 2005","July","International"
"Periode 200507","Air China","Air China","Asia","Enplaned","Other","International","G","Enplaned","Tahun 2005","July","International"
"Periode 200507","Air France","Air France","Europe","Deplaned","Other","International","A","Deplaned","Tahun 2005","July","International"
"Periode 200507","Air France","Air France","Europe","Enplaned","Other","International","A","Enplaned","Tahun 2005","July","International"
"Periode 200507","Air New Zealand","Air New Zealand","Australia / Oceania","Deplaned","Other","International","G","Deplaned","Tahun 2005","July","International"
"Periode 200507","Air New Zealand","Air New Zealand","Australia / Oceania","Enplaned","Other","International","G","Enplaned","Tahun 2005","July","International"
"Periode 200507","AirTran Airways","AirTran Airways","US","Deplaned","Low Fare","International","A","Deplaned","Tahun 2005","July","Domestic"
"Periode 200507","AirTran Airways","AirTran Airways","US","Enplaned","Low Fare","International","A","Enplaned","Tahun 2005","July","Domestic"
"Periode 200507","Alaska Airlines","Alaska Airlines","US","Deplaned","Other","International","A","Deplaned","Tahun 2005","July","Domestic"
"Periode 200507","Alaska Airlines","Alaska Airlines","US","Enplaned","Other","International","A","Enplaned","Tahun 2005","July","Domestic"
"Periode 200507","Alaska Airlines","Alaska Airlines","US","Thru / Transit","Other","International","A","Thru / Transit * 2","Tahun 2005","July","Domestic"
"Periode 200507","Alaska Airlines","Alaska Airlines","Canada","Deplaned","Other","International","A","Deplaned","Tahun 2005","July","International"
"Periode 200507","Alaska Airlines","Alaska Airlines","Canada","Enplaned","Other","International","A","Enplaned","Tahun 2005","July","International"
"Periode 200507","Alaska Airlines","Alaska Airlines","Mexico","Deplaned","Other","International","A","Deplaned","Tahun 2005","July","International"
"Periode 200507","Alaska Airlines","Alaska Airlines","Mexico","Enplaned","Other","International","A","Enplaned","Tahun 2005","July","International"
"Periode 200507","Alaska Airlines","Alaska Airlines","Mexico","Thru / Transit","Other","International","A","Thru / Transit * 2","Tahun 2005","July","International"
"Periode 200507","All Nippon Airways","All Nippon Airways","Asia","Deplaned","Other","International","G","Deplaned","Tahun 2005","July","International"
"Periode 200507","All Nippon Airways","All Nippon Airways","Asia","Enplaned","Other","International","G","Enplaned","Tahun 2005","July","International"
"Periode 200507","American Airlines","American Airlines","US","Deplaned","Other","Terminal 3","E","Deplaned","Tahun 2005","July","Domestic"
"Periode 200507","American Airlines","American Airlines","US","Enplaned","Other","Terminal 3","E","Enplaned","Tahun 2005","July","Domestic"
"Periode 200507","American Eagle Airlines","American Airlines","US","Deplaned","Other","Terminal 3","E","Deplaned","Tahun 2005","July","Domestic"
"Periode 200507","American Eagle Airlines","American Airlines","US","Enplaned","Other","Terminal 3","E","Enplaned","Tahun 2005","July","Domestic"
"Periode 200507","Asiana Airlines","Asiana Airlines","Asia","Deplaned","Other","International","A","Deplaned","Tahun 2005","July","International"
"Periode 200507","Asiana Airlines","Asiana Airlines","Asia","Enplaned","Other","International","A","Enplaned","Tahun 2005","July","International"
"Periode 200508","United Airlines - Pre 07/01/2013","United Airlines - Pre 07/01/2013","Mexico","Deplaned","Other","International","G","Deplaned","Tahun 2005","August","International"
"Periode 200508","United Airlines - Pre 07/01/2013","United Airlines - Pre 07/01/2013","Mexico","Enplaned","Other","International","G","Enplaned","Tahun 2005","August","International"
"Periode 200508","United Airlines - Pre 07/01/2013","United Airlines - Pre 07/01/2013","Mexico","Thru / Transit","Other","International","G","Thru / Transit * 2","Tahun 2005","August","International"
"Periode 200508","Virgin Atlantic","Virgin Atlantic","Europe","Deplaned","Other","International","A","Deplaned","Tahun 2005","August","International"
"Periode 200508","Virgin Atlantic","Virgin Atlantic","Europe","Enplaned","Other","International","A","Enplaned","Tahun 2005","August","International"
"Periode 200508","WestJet Airlines","WestJet Airlines","Canada","Deplaned","Other","International","A","Deplaned","Tahun 2005","August","International"
"Periode 200508","WestJet Airlines","WestJet Airlines","Canada","Enplaned","Other","International","A","Enplaned","Tahun 2005","August","International"
"Periode 200509","ATA Airlines","ATA Airlines","US","Deplaned","Low Fare","Terminal 1","B","Deplaned","Tahun 2005","September","Domestic"
"Periode 200509","ATA Airlines","ATA Airlines","US","Enplaned","Low Fare","Terminal 1","B","Enplaned","Tahun 2005","September","Domestic"
"Periode 200509","ATA Airlines","ATA Airlines","US","Thru / Transit","Low Fare","Terminal 1","B","Thru / Transit * 2","Tahun 2005","September","Domestic"
"Periode 200509","Air Canada","Air Canada","Canada","Deplaned","Other","Terminal 1","B","Deplaned","Tahun 2005","September","International"
"Periode 200509","Air Canada","Air Canada","Canada","Enplaned","Other","Terminal 1","B","Enplaned","Tahun 2005","September","International"
"Periode 200509","Air China","Air China","Asia","Deplaned","Other","International","G","Deplaned","Tahun 2005","September","International"
"Periode 200509","Air China","Air China","Asia","Enplaned","Other","International","G","Enplaned","Tahun 2005","September","International"
"Periode 200509","Air France","Air France","Europe","Deplaned","Other","International","A","Deplaned","Tahun 2005","September","International"
"Periode 200509","Air France","Air France","Europe","Enplaned","Other","International","A","Enplaned","Tahun 2005","September","International"
"Periode 200510","ATA Airlines","ATA Airlines","US","Deplaned","Low Fare","Terminal 1","B","Deplaned","Tahun 2005","October","Domestic"
"Periode 200510","ATA Airlines","ATA Airlines","US","Enplaned","Low Fare","Terminal 1","B","Enplaned","Tahun 2005","October","Domestic"
"Periode 200510","ATA Airlines","ATA Airlines","US","Thru / Transit","Low Fare","Terminal 1","B","Thru / Transit * 2","Tahun 2005","October","Domestic"
"Periode 200510","Air Canada","Air Canada","Canada","Deplaned","Other","Terminal 1","B","Deplaned","Tahun 2005","October","International"
"Periode 200510","Air Canada","Air Canada","Canada","Enplaned","Other","Terminal 1","B","Enplaned","Tahun 2005","October","International"
