customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,salesRepEmployeeNumber_Scalled
0,9,89,15,88,47,17,62,1,40,7,7,2,0.5
1,102,49,43,111,67,17,40,9,68,0,1,33,0.07142857142857142
2,11,27,82,50,55,12,54,17,32,1,11,80,0.7857142857142857
3,63,54,42,89,57,17,62,1,40,7,7,81,0.5
4,17,9,48,62,83,17,84,1,37,16,10,44,0.7142857142857142
5,76,71,97,91,50,17,80,1,77,0,0,91,0.0
6,53,78,110,12,120,17,92,1,2,19,8,0,0.5714285714285714
7,19,47,90,33,99,17,28,1,52,8,10,21,0.7142857142857142
8,77,68,50,108,48,17,78,1,75,0,0,24,0.0
9,64,57,57,76,69,17,61,10,9,0,5,78,0.3571428571428571
10,42,33,23,17,80,17,49,1,31,24,7,92,0.5
11,118,8,18,66,74,17,47,1,88,25,10,15,0.7142857142857142
12,34,76,52,85,117,17,38,1,20,5,8,46,0.5714285714285714
13,98,88,68,114,18,17,48,1,56,7,6,87,0.42857142857142855
14,40,70,30,39,78,6,82,1,7,22,13,71,0.9285714285714285
15,80,106,45,75,41,19,61,10,9,0,4,89,0.2857142857142857
16,36,58,56,78,60,17,1,12,57,0,3,69,0.21428571428571427
17,108,38,51,109,70,17,18,1,75,0,0,48,0.0
18,52,103,105,40,3,2,82,1,6,22,12,67,0.8571428571428571
19,55,73,102,32,77,15,7,1,85,17,10,66,0.7142857142857142
20,3,30,55,71,9,17,65,2,78,0,4,0,0.2857142857142857
21,88,107,40,4,84,17,43,1,21,20,8,0,0.5714285714285714
22,33,80,65,67,14,17,42,1,51,7,7,45,0.5
23,62,10,62,5,29,17,70,1,60,7,6,47,0.42857142857142855
24,22,101,46,100,45,17,19,5,48,0,2,10,0.14285714285714285
25,48,49,50,69,28,17,13,2,77,0,5,47,0.3571428571428571
26,85,48,76,42,1,17,37,11,0,13,13,42,0.9285714285714285
27,117,34,72,73,30,17,61,10,9,0,4,35,0.2857142857142857
28,113,46,69,117,95,17,35,1,26,6,9,65,0.6428571428571428
29,1,4,87,8,85,17,51,1,81,27,9,88,0.6428571428571428
30,26,15,22,27,26,8,26,1,23,10,10,30,0.7142857142857142
31,15,98,59,102,12,17,12,5,50,0,3,3,0.21428571428571427
32,115,24,28,9,5,17,44,1,92,27,9,57,0.6428571428571428
33,23,97,108,14,15,17,90,0,90,4,5,54,0.3571428571428571
34,84,5,73,101,61,17,12,5,50,29,2,29,0.14285714285714285
35,114,106,50,105,65,17,71,1,69,29,1,56,0.07142857142857142
36,7,104,14,35,112,3,82,1,4,22,8,0,0.5714285714285714
37,73,19,33,116,24,17,85,1,54,7,7,16,0.5
38,58,35,75,44,73,0,20,1,9,9,13,19,0.9285714285714285
39,41,86,27,19,106,17,5,1,8,24,14,22,1.0
40,20,106,67,86,42,17,32,1,73,29,1,1,0.07142857142857142
41,81,51,39,54,113,17,25,1,3,8,8,0,0.5714285714285714
42,54,44,77,115,109,17,95,1,67,5,8,84,0.5714285714285714
43,90,32,44,13,43,17,57,15,83,4,4,12,0.2857142857142857
44,0,13,2,18,89,17,49,1,29,24,8,0,0.5714285714285714
45,27,99,101,112,37,17,77,1,72,29,1,73,0.07142857142857142
